epoch,train_loss,val_loss,train_CharAccuracy,train_CharPrecision,train_CharRecall,train_CharF1,train_DotAccuracy,val_CharAccuracy,val_CharPrecision,val_CharRecall,val_CharF1,val_DotAccuracy
1,0.49582866497735595,0.11207664779535462,0.3061,0.3114,0.2357,0.2397,0.7475,0.8222,0.6415,0.702,0.6477,0.9567
2,0.10834875161805557,0.026954306380473345,0.8396,0.7696,0.7916,0.7699,0.9623,0.9616,0.8914,0.9326,0.9056,0.9921
3,0.04198532981639092,0.01429626233692861,0.9373,0.8882,0.9144,0.8985,0.9865,0.9817,0.9467,0.9651,0.9541,0.996
4,0.026569486096463656,0.010976734220881534,0.9607,0.9253,0.9456,0.9342,0.9916,0.9852,0.9563,0.9734,0.9635,0.9968
5,0.020233607774637834,0.008082793445756443,0.9702,0.9423,0.9595,0.9501,0.9938,0.9891,0.9645,0.9757,0.9691,0.9978
6,0.017673089541023666,0.009012963490423062,0.9746,0.9482,0.9656,0.9562,0.9947,0.9881,0.9633,0.9769,0.9692,0.9976
7,0.015846961438249152,0.007702063130667096,0.9779,0.9557,0.9675,0.9612,0.9954,0.99,0.972,0.9776,0.9741,0.9979
8,0.014597523534545733,0.008569095219997817,0.9794,0.9587,0.9697,0.9639,0.9957,0.9887,0.961,0.9777,0.9682,0.9978
9,0.013997894303825816,0.007415736801819314,0.981,0.9606,0.9726,0.9662,0.996,0.9906,0.9673,0.9784,0.972,0.9981
10,0.012554656741293769,0.0072814293464727835,0.9829,0.9652,0.9741,0.9694,0.9965,0.9903,0.9678,0.978,0.9721,0.998
11,0.011741286208559258,0.007922093121036505,0.984,0.9664,0.9773,0.9716,0.9967,0.9896,0.9684,0.978,0.9721,0.9977
12,0.011267154435862133,0.01062986305638644,0.9854,0.9688,0.9769,0.9726,0.9969,0.984,0.9578,0.9675,0.9612,0.9967
13,0.00987560523583624,0.006942999186687464,0.9873,0.9737,0.9815,0.9774,0.9973,0.9906,0.9744,0.9779,0.9753,0.998
14,0.010062594360764562,0.006789405706490626,0.9871,0.9728,0.9802,0.9764,0.9973,0.9907,0.9727,0.9774,0.9744,0.998
15,0.009467665628918064,0.007655046264093419,0.988,0.9756,0.9824,0.9789,0.9975,0.9917,0.9771,0.9835,0.9798,0.998
16,0.008897543956036218,0.005254101440203056,0.9882,0.9756,0.9824,0.9789,0.9976,0.9941,0.9792,0.9841,0.9813,0.9988
17,0.008502833743028779,0.0053974673758241404,0.989,0.9768,0.9834,0.98,0.9976,0.9941,0.9813,0.9861,0.9832,0.9988
18,0.008530225341581875,0.00608165365850392,0.9893,0.9787,0.9831,0.9808,0.9977,0.9926,0.9813,0.9854,0.983,0.9984
19,0.00760033684756025,0.00569448306878338,0.99,0.9789,0.985,0.9819,0.9979,0.9941,0.9834,0.9869,0.9848,0.9986
20,0.007845576687101802,0.0053220108954945295,0.9905,0.9804,0.9854,0.9828,0.998,0.994,0.983,0.9858,0.9842,0.9987
21,0.007073559311200333,0.005353769279031967,0.9912,0.9825,0.986,0.9842,0.9981,0.9936,0.9788,0.9857,0.9818,0.9986
22,0.007065057194284721,0.0051242909453854246,0.991,0.9801,0.9856,0.9827,0.9981,0.9946,0.9839,0.9876,0.9854,0.9988
23,0.007159458443218915,0.0048979013654459145,0.991,0.983,0.9864,0.9846,0.9981,0.9951,0.9869,0.9875,0.9869,0.9989
24,0.006563527752624111,0.005351693399614606,0.9916,0.9829,0.9865,0.9846,0.9982,0.9938,0.9802,0.984,0.9815,0.9987
25,0.006117014431774308,0.004690619351455943,0.9922,0.9843,0.9875,0.9859,0.9983,0.995,0.9837,0.9861,0.9846,0.9989
26,0.005926626616529203,0.004865281315309451,0.9928,0.985,0.9882,0.9866,0.9984,0.9945,0.9834,0.9864,0.9846,0.9988
27,0.005789362425385076,0.005146844542633296,0.9928,0.9859,0.9893,0.9875,0.9984,0.9943,0.9827,0.9851,0.9836,0.9987
28,0.005584844811372494,0.004883094815583897,0.9932,0.9866,0.989,0.9878,0.9985,0.9948,0.9852,0.9875,0.9861,0.9988
29,0.00531644762448164,0.004901703538995466,0.9937,0.9868,0.9892,0.988,0.9986,0.995,0.9861,0.9874,0.9865,0.9989
30,0.005095033689794239,0.0047818503232098806,0.9935,0.9858,0.9892,0.9875,0.9986,0.9949,0.985,0.9861,0.9853,0.9988
31,0.004967459515984513,0.004700532590586852,0.9935,0.9863,0.9899,0.988,0.9986,0.9952,0.9864,0.9869,0.9864,0.9989
32,0.004923461835333938,0.004678530215979073,0.9942,0.9887,0.9908,0.9897,0.9987,0.9951,0.9867,0.9871,0.9867,0.9989
33,0.004566432322300335,0.004844022469996488,0.9943,0.9883,0.9906,0.9894,0.9988,0.9948,0.9862,0.9863,0.986,0.9988
34,0.0045658934930052535,0.004826551596365272,0.9944,0.9888,0.9904,0.9895,0.9988,0.9948,0.986,0.9865,0.9859,0.9988
35,0.004794289160052627,0.004784743241001076,0.9939,0.9867,0.9903,0.9885,0.9987,0.9948,0.9853,0.9866,0.9857,0.9988
